analysis_set,case_id,answer_uncertainty,answer_pairwise_distance,n_answer_clusters
bioasq_train,bioasq13b_55031181e9bde69634000014,-0.0,0.04608726501464844,1
bioasq_train,bioasq13b_532f062ad6d3ac6a34000027,0.14118174150460758,0.05514165386557579,2
bioasq_train,bioasq13b_54f49995d0d681a040000002,-0.0,0.0027278277557343245,1
bioasq_train,bioasq13b_535d78137d100faa09000005,-0.0,0.053254324942827225,1
bioasq_train,bioasq13b_52d946c798d023950500000a,-0.0,0.031166577711701393,1
bioasq_train,bioasq13b_5322d9339b2d7acc7e000011,-0.0,0.008999312296509743,1
bioasq_train,bioasq13b_553fa2201d53b76422000005,-0.0,0.014431842602789402,1
bioasq_train,bioasq13b_550324d7e9bde6963400002f,0.14118174150460758,0.05901588872075081,2
bioasq_train,bioasq13b_52f125332059c6d71c000007,-0.0,0.020627785474061966,1
bioasq_train,bioasq13b_54dcb29dc0bb8dce23000004,-0.0,0.008331210352480412,1
bioasq_train,bioasq13b_533c388dc45e133714000008,-0.0,0.028343120589852333,1
bioasq_train,bioasq13b_56c3323a50c68dd416000009,-0.0,0.033724598586559296,1
bioasq_train,bioasq13b_56cf413f3975bb303a000009,-0.0,0.010228138417005539,1
bioasq_train,bioasq13b_5357bd56f1005d6b58000009,-0.0,0.008018329739570618,1
bioasq_train,bioasq13b_56c1d848ef6e39474100002f,-0.0,0.023498931899666786,1
bioasq_train,bioasq13b_53312464d6d3ac6a3400003a,-0.0,0.016341736540198326,1
bioasq_train,bioasq13b_56ae35bc0a360a5e45000007,-0.0,0.0034940652549266815,1
bioasq_train,bioasq13b_54fc97b86ad7dcbc12000002,-0.0,0.025302516296505928,1
bioasq_train,bioasq13b_56ccae765795f9a73e000035,-0.0,0.015544263646006584,1
bioasq_train,bioasq13b_56f112932ac5ed145900000d,-0.0,0.05631024017930031,1
bioasq_train,bioasq13b_57169662cb4ef8864c000008,0.14118174150460758,0.05721059441566467,2
bioasq_train,bioasq13b_54f57892d0d681a040000009,-0.0,0.038698647171258926,1
bioasq_train,bioasq13b_56a7d5afa17756b72f000002,-0.0,0.03200424090027809,1
bioasq_train,bioasq13b_53188c12b166e2b80600001a,-0.0,0.027105744928121567,1
